txn_count_5min,avg_amount_5min,high_risk_flag
5,166.41842301065498,0
4,145.85514115629482,0
4,215.94177701987567,0
5,204.4631702893243,0
5,285.1164676036678,0
3,166.80352966937497,0
5,41.53169220037543,0
4,170.89033612293497,0
6,69.88553928667383,0
7,233.2537579277261,0
2,66.088165732097,0
5,120.93031500687188,0
5,171.01324333801097,0
6,323.51604838089156,0
4,114.16879074280659,0
6,200.9923986517269,0
6,246.39812615658073,0
1,318.7248442576558,0
7,262.22358013771276,0
2,287.5125561305972,0
11,269.1445647081233,0
4,103.27016228830887,0
3,228.77536834536374,0
8,267.89287617377784,0
3,123.47997682607841,0
3,153.6192098620782,0
5,135.7446163898355,0
8,261.80983887744264,0
3,194.45751037366944,0
2,174.33232845319225,0
5,97.46640666776099,0
3,194.6084597444966,0
8,154.59293160122007,0
10,219.46716522113297,0
3,108.56262410836393,0
2,214.23250076049604,0
5,164.88393836009436,0
7,100.05624594118828,0
6,93.81727696974826,0
6,105.83836895818447,0
2,183.48807540475661,0
4,209.67963474908004,0
9,221.5858905901745,0
7,224.6042334182758,0
11,139.318139121664,0
8,284.672232647614,0
3,164.62195791934775,0
2,236.01198080477857,0
3,186.86756532049466,0
4,230.0496985362433,0
5,182.8537547084069,0
5,231.4907901259653,0
4,199.4088904095741,0
3,265.1072456520551,0
8,134.50519654310415,0
2,58.408693128753725,0
1,122.13140644527226,0
4,285.5134732190427,0
5,187.63529440898083,0
4,207.364983643725,0
3,115.70907087628903,0
4,205.24429801202228,0
8,118.17498847418429,0
2,129.9374979957796,0
2,167.80130537408957,0
2,235.60778062737165,0
7,244.1478064514008,0
6,246.32359183502695,0
7,72.95327079645007,0
6,199.46683996877908,0
7,184.25745332938112,0
6,77.42540671348357,0
4,201.27870133777589,0
2,179.9658226050591,0
3,240.922053769431,0
4,206.4997660991842,0
7,156.05435757733974,0
4,274.0609960365582,0
3,22.30131993799006,0
2,194.8587897256312,0
6,58.93992544064514,0
3,127.02453830351041,0
5,241.98509624074796,0
9,98.06420156473577,0
6,86.10257450368522,0
6,390.55559867324996,0
9,91.25687588638684,0
4,332.04167224703787,0
9,186.22382683365916,0
2,158.01367028488198,0
10,245.34291124705638,0
6,306.92752604355996,0
9,108.31456463133372,0
4,159.18001682171757,0
1,267.7495787747402,0
6,223.03954499416,0
8,288.1534264513106,0
6,241.20895635454235,0
2,344.6579207319319,0
3,214.28708790669202,0
5,217.74489186647696,0
3,225.7377097612639,0
3,188.60089186187537,0
5,267.84697270407395,0
6,218.96329790904207,0
5,263.0544007316115,0
3,275.5599882899328,0
5,234.2763745248262,0
3,240.13730593873575,0
3,119.17361699227729,0
6,155.9717129744143,0
5,267.4706762392585,0
6,313.8904945454811,0
2,44.76558195933117,0
4,154.57094821988682,0
7,201.889648193172,0
6,129.65804303354577,0
5,134.19842846546538,0
4,237.9935899035044,0
3,326.5100775337147,0
3,37.454115494228716,0
7,186.3619080814643,0
7,237.06242734323104,0
6,262.4171177760193,0
6,225.53018744552307,0
7,340.9122039948892,0
8,202.31252746606353,0
6,304.9594232313678,0
3,148.29058637232248,0
7,204.63863572710798,0
5,102.98279393609194,0
5,272.06915524391957,0
7,190.36457098870588,0
4,228.62568500159185,0
9,174.9305094971941,0
4,246.91428013272127,0
5,231.79471790846017,0
2,120.42788560230349,0
6,125.05860539335916,0
3,197.77850157269185,0
6,252.7659165925326,0
2,349.0316442491078,0
3,224.23926853325833,0
5,280.6025121990832,0
3,70.97192521886652,0
4,361.0364679547186,0
5,248.45489689033542,0
6,196.03163910729762,0
3,186.82431620336598,0
3,111.42401617128014,0
4,134.29705634238633,0
5,352.8348505706731,0
4,120.879644937119,0
2,119.3385793706924,0
6,143.82236111395366,0
6,104.14553976309818,0
8,201.22452598764082,0
1,287.1128410132191,0
6,151.16061389823733,0
2,90.1340576191343,0
5,223.34890504117232,0
2,195.53805298561497,0
6,280.21796400653,0
